,A,L05,LIT7,LITall,AR7,ARall,X7,Xall,Xfull
2025-07-01,54284.28065221496,54048.07207570435,54284.564691913925,56518.57745154368,54625.997520159195,56395.979737890884,54276.36165411646,53335.400812709566,53429.62854745588
2025-07-02,49200.819789174995,53807.71914374958,50171.87370592832,53513.78464556656,49276.80840933861,54011.49625491853,49198.43087329722,52029.419449739944,51729.92933373763
2025-07-03,54800.00655716888,56180.84927954604,55032.98647873214,57995.92135996532,54858.45058844776,57024.65156597614,54803.05277871806,55268.30509765989,55091.942788546505
2025-07-04,27589.891039789287,26416.293284480987,27784.65489915411,26744.024335261773,27556.012034185518,25721.176799250035,27586.223238627495,26640.15787238592,26864.604540629683
2025-07-05,26590.43427145017,25834.921749558365,26951.554654050015,26808.33034666723,26532.144574957125,26181.285740496744,26585.71145233388,25931.868794994727,26034.210796960833
2025-07-06,56968.14182830856,57233.88366785583,57037.85365316742,58317.730088426324,56840.82814543811,57322.23381800794,56970.85427398397,56537.273217492155,56619.03534100702
2025-07-07,50672.66132625138,51627.842979420595,50581.67227946171,51207.07762985619,50718.10884602308,52212.31556954686,50670.602051486545,51340.61051656967,51240.536181510644
2025-07-08,54417.44383495839,55042.536868997224,54534.092946280725,55388.380550178204,54368.51455259071,55617.05912414184,54413.001360127586,54599.92172541415,54586.55211804401
2025-07-09,52908.58461242598,52488.26661840029,52386.73658881547,52639.83990643908,52875.27934465163,50977.7119052976,52904.22000985237,53036.38818288751,53011.568435876594
2025-07-10,52661.08553448462,52942.44388449504,52713.062508696574,54228.95667795547,52474.49109107989,55439.01373640938,52663.04065988517,54210.43741697792,54030.234542377715
2025-07-11,25892.409661615617,25503.816710578638,26653.05050201687,27832.17354389281,26187.341842572263,26000.460912581573,25887.417652392447,26158.653155310883,26147.299605055105
2025-07-12,28082.66946654139,28051.451071221156,28714.54078484828,28129.491587837623,28154.12825079891,25784.466037115857,28078.68315684602,27562.190221087698,27772.51121355125
2025-07-13,52694.170428252306,53039.3184099836,52358.962387820284,51961.68649866572,52568.4260445326,53364.45528315612,52689.090220618236,53984.156323359166,53906.321339578615
2025-07-14,50886.89567808849,49198.29700564622,50786.68773540759,50239.66197332954,51014.65988249843,49636.22871184564,50883.76315769404,51486.284381635734,51457.99344505513
2025-07-15,58538.69299808966,57153.94997338432,58352.105882233256,55762.65292332419,58470.938125975495,56416.89781295367,58535.06337895617,58883.79595142864,58797.40970231946
2025-07-16,50178.54352175876,49550.61369655226,49953.94322909335,50469.36401553702,50142.946102090806,50434.24021669798,50174.21047624323,49775.995227236905,49754.24720667857
2025-07-17,51958.86735163933,51626.35091953308,51722.83657383869,52676.35042611951,51926.08365853904,51815.575911136904,51953.686887215306,51866.361284051694,51940.661592612734
2025-07-18,26739.685586201038,26564.515661007477,27133.89634727249,26738.840444837166,26778.31704780798,26271.198512399442,26734.33306005757,26668.652204747417,26651.3401066493
2025-07-19,25763.68175982785,25382.309783347395,25697.205124556014,25704.26141832649,25890.47132922124,25474.325911710854,25760.242231768658,25685.51954775936,25668.740255674293
2025-07-20,50371.36405808402,48777.359572613525,50159.09217027142,49764.73777974628,50237.888815795915,49892.27054836384,50366.818241218905,49935.77306285534,49930.04200415089
2025-07-21,52544.50881436412,52115.42527087335,52374.20528829332,52881.22037639223,52568.49307381957,52971.49223257427,52540.54891403569,52745.34804877348,52706.88244806697
2025-07-22,52688.54675796311,52407.42681985597,52822.60885237038,53886.84024074846,52623.769517037064,51857.362739077435,52691.48931631581,51570.362550426136,51643.52592515941
2025-07-23,57961.46475250399,56629.560901450575,57493.7112428033,56271.79326093893,57767.94408047675,57895.767544268485,57955.84466231264,57962.276804784626,57893.86395851789
2025-07-24,52296.01607206269,50803.453984275155,51865.52468930969,52327.65083938226,52401.972137386016,51592.617022566395,52291.97368174826,52003.97519650401,51969.52475253718
2025-07-25,24291.497759754984,24685.471604025035,24682.3712549554,25623.727579465718,24143.030282044878,24913.445285538663,24303.785315110992,24567.730543287376,24561.097955089463
2025-07-26,24828.439165583033,24898.94754123074,25380.80170299296,26909.032516341802,24785.487356844336,24739.403380566,24824.308234291482,24804.797116930557,24811.723341227687
2025-07-27,54436.85895830495,53121.30010138202,53950.28853367627,53927.68119008284,54230.713656228894,53590.10814526582,54430.59527664696,53848.16305250744,53926.876934029955
2025-07-28,55562.71135024045,55640.82109236215,57217.46966014851,56956.357767579815,55345.00036314597,53879.621686393555,55600.77782519471,55001.80248393096,54965.98062591344
2025-07-29,53435.164720023575,51661.673602754876,53651.32658286737,54974.34305605093,53428.331349922584,51690.29399666621,53439.00388401636,52330.16407395459,52444.829887719156
2025-07-30,56292.93208469498,52124.764641187336,56147.60764234361,52699.32637764745,56146.10252303597,52124.98044571444,56298.77601397281,53318.3777877932,53543.07659724108
