,mse_plan,mse_adj,mse_both,mae_plan,mae_adj,mae_both,A,L05
2025-06-14,21630.002647621448,21404.13956957896,21454.727248893974,21675.64622501906,20924.963020852585,21021.194277565213,21579.41496830643,21794.084490457448
2025-06-15,47645.84686146774,47929.3551345993,47674.51206487275,47581.22248464359,48301.96286434056,47963.15702643199,48006.161117151954,47480.898100451464
2025-06-16,50805.4929795888,54608.04728696634,51496.93673863548,50673.1517258292,55070.27135636401,52161.03952838581,54320.93015027473,51165.72322639685
2025-06-17,54164.49468553034,52631.09765477585,54645.03917226937,53313.01071515266,54836.87883768264,54705.8580638467,52142.264604602286,52634.11393971554
2025-06-18,48645.54216257176,48021.5280463387,48489.47904310577,48713.66907164157,48030.05190485035,48525.463986492156,48157.21541497225,48495.04405345429
2025-06-19,47473.90592379098,48648.17967562151,47306.62655015778,47514.2668455056,49243.93272657172,47799.19359970356,48384.793208338335,47953.330251709165
2025-06-20,19222.899956975354,19214.257094373894,19217.6683476923,19190.829450991878,19234.62181858823,19203.601634279777,19219.48870365695,19183.726691468964
2025-06-21,19002.26114950929,20103.999928066103,19026.43303378333,18986.525854064457,20273.30481522558,19123.85919495507,20063.702051392087,18840.639269954114
2025-06-22,49179.492935979244,48961.53337735287,48955.38604095802,49191.68908543364,48587.69491463194,48595.395377462206,49185.319243705395,48929.45178299254
2025-06-23,47700.27575660686,48293.979555375685,47708.28986076471,47877.57407485394,47850.404111270065,47750.609509070404,48571.075255540556,46635.75513643556
2025-06-24,54132.82652719946,55409.48577082643,56370.29295747526,54228.68297663668,58802.816920051846,58792.46457503515,53336.790554090665,54535.70213801727
2025-06-25,48146.112166356164,48980.13160435897,47728.80331774442,48024.97740707739,49071.95052783995,47782.34561678055,49188.861858831995,47442.42288831693
2025-06-26,46526.40326501282,48420.33081425916,46844.04726686205,46495.40737130294,49030.249057866946,47362.219773788245,48072.38641469698,46166.97126715295
