,A,L05,L6pred,L6pred_pure
2025-12-19,27405.709842683158,26795.666304014143,28965.266720472824,29026.477845527334
2025-12-20,26107.877220212835,26289.711638978504,27300.21838213515,27193.643150829103
2025-12-21,61340.6161877949,61124.22280110859,62103.44912845076,62366.482777405065
2025-12-22,61204.278235052894,60750.49628434842,62395.4868078503,62842.04751397672
2025-12-23,60277.26397739653,60407.26750493982,60354.82107090782,60512.27473406129
2025-12-24,60041.68865751504,60557.3189995147,62337.467998679705,62601.171315149666
2025-12-25,61464.92341844189,61283.42530823932,62178.855441272775,62655.15495322354
2025-12-26,26741.013434370576,26580.01789685706,27689.33857403198,27620.820842525856
2025-12-27,25446.16489989653,25583.81544180824,27544.546081426175,28020.58428254881
2025-12-28,59955.58495988504,59842.24652347491,60169.17266165583,60612.09100614836
2025-12-29,60988.50385800002,60298.23456353429,61935.3268761881,62459.337406974395
2025-12-30,60777.77803705442,61174.76384659068,60903.766181291074,61148.0287766517
2025-12-31,61579.39812066221,60606.46027243208,62024.061276126144,62157.64270340243
