日期,主方案紧急量/kWh,官方三点紧急量/kWh
2025-10-16,1.9161339182005577e-11,1.6620038678638593e-11
2025-10-17,1.2984724406805981e-11,1.2577938690583323e-11
2025-10-18,1.269739868803299e-11,1.582767250596362e-11
2025-10-19,1.5214496329463145e-11,1.7545076502756274e-11
2025-10-20,2.336419946402657e-11,1.9768409131870612e-11
2025-10-21,2.511013619255209e-11,1.9268142636974517e-11
2025-10-22,2.284838984678572e-11,2.2507329333620874e-11
2025-10-23,1.886318878874249e-11,1.736749632996748e-11
2025-10-24,44.635960000010975,44.63596000001253
2025-10-25,13.404222333348123,13.404222333346938
2025-10-26,1.8272494628490676e-11,1.9124257732983097e-11
2025-10-27,19.744933333351746,19.74493333335128
2025-10-28,2.7421898085577823e-11,2.3906487900404727e-11
2025-10-29,1.9516832594490552e-11,2.0332180383775267e-11
2025-10-30,3.641833333357805,3.6418333333557156
2025-10-31,1.939892690927536e-11,1.4172885087759823e-11
2025-11-01,1.63105084993731e-11,1.472877375618964e-11
2025-11-02,57.048101000015706,9.422555840016955
2025-11-03,1.8612666963235824e-11,2.348521377371071e-11
2025-11-04,71.21719679668522,75.52472426335225
2025-11-05,2.5798918557029538e-11,3.2276833333584465
2025-11-06,382.4265890623526,2.176259172870232e-11
2025-11-07,1.4400536318959212e-11,1.2888856648629599e-11
2025-11-08,1.454125708733045e-11,1.4269474490902212e-11
2025-11-09,29.78710161001916,29.78710161001839
2025-11-10,1.840366747885014e-11,1.6366463739814208e-11
2025-11-11,2.0246027077064355e-11,2.051666666686452
2025-11-12,1.678326401466368e-11,2.099445096936936e-11
2025-11-13,2.5204283105040304e-11,2.4082069671749196e-11
2025-11-14,2.155209344323339e-11,1.8204548979383617e-11
2025-11-15,21.175040066681774,21.175040066681337
2025-11-16,1.9598545009102963e-11,1.9534596162884554e-11
2025-11-17,1.297983942549763e-11,1.8472778862133055e-11
2025-11-18,2.0625279262276308e-11,1.929123527588672e-11
2025-11-19,1.3850000000171723,1.385000000026225
2025-11-20,1.9539037054983055e-11,2.0455637184113584e-11
2025-11-21,1.5150991572454586e-11,1.7459367285255212e-11
2025-11-22,1.5962564603455576e-11,1.5119683283160157e-11
2025-11-23,1.8915424782051105e-11,1.696098816950098e-11
2025-11-24,18.839666666688707,18.83966666668791
2025-11-25,1.751576661490617e-11,1.574207431076502e-11
2025-11-26,5.034824733354735,2.4685475885632968e-11
2025-11-27,2.257516396042547e-11,2.7158164606078117e-11
2025-11-28,85.71286486668191,85.71286486668413
2025-11-29,2.0605683825891674e-11,1.812838767989433e-11
2025-11-30,2.1871060518208196e-11,2.0040857862113626e-11
2025-12-01,2712.1877798211926,2276.9325522147965
2025-12-02,2794.1403609192303,1966.1958468654602
2025-12-03,1342.2670810443558,1066.2333472986893
2025-12-04,2783.527725379464,1989.6225144953562
2025-12-05,1593.360763391159,1287.0294622666843
2025-12-06,219.28158758334777,1.4589662811204107e-11
2025-12-07,2534.2300456040575,2270.1067668695673
2025-12-08,1873.0900773351339,1330.3724751013528
2025-12-09,70.35298886113429,55.65797455557573
2025-12-10,1.9167334386338553e-11,1.816191641523801e-11
2025-12-11,1.6477041953066873e-11,1.940470006900341e-11
2025-12-12,1.722622045008393e-11,1.553424056055519e-11
2025-12-13,2.0185630944524746e-11,1.63229429972489e-11
2025-12-14,1.9564572184549434e-11,2.054156844621957e-11
2025-12-15,1.9822546382108897e-11,2.133777876611731e-11
2025-12-16,1.744870914421881e-11,2.4426349831685457e-11
2025-12-17,2.2496227103374622e-11,2.4670709919405454e-11
2025-12-18,1.5496048888508085e-11,1.6122214674396673e-11
2025-12-19,2.0579274395693403e-11,2.4658011743561303e-11
2025-12-20,1.95012894721458e-11,2.0553336810280598e-11
2025-12-21,1.6814438730250458e-11,12.14448472224165
2025-12-22,42.446953150019006,42.44695315002163
2025-12-23,1.9976686971290292e-11,2.2070123506523487e-11
2025-12-24,36.66314000001713,0.6958847222456247
2025-12-25,2.3427260131825278e-11,2.1146417950035357e-11
2025-12-26,2.334399340497839e-11,2.2178259229121977e-11
2025-12-27,2.1106227876543926e-11,2.2456259074488116e-11
2025-12-28,2.1491586288391318e-11,2.4534929643493797e-11
2025-12-29,1.8885948360747307e-11,2.061967263600195e-11
2025-12-30,3.0243587777995833,2.685207611818896e-11
2025-12-31,2.148237143728693e-11,2.007993771258043e-11
