日期,w1_L(d-7),w2_L(d-14),w3_典型日,u1_P(d-1),u2_P(d-2),u3_典型日,w1_L(d-7)_平滑,w2_L(d-14)_平滑,w3_典型日_平滑,u1_P(d-1)_平滑,u2_P(d-2)_平滑,u3_典型日_平滑
2025-09-11,0.6,0.4,0.0,0.2,0.6,0.2,0.7066666666666668,0.29333333333333333,0.0,0.2,0.5866666666666667,0.21333333333333335
2025-09-12,0.6,0.4,0.0,0.2,0.6,0.2,0.72,0.28,0.0,0.17333333333333334,0.6,0.22666666666666668
2025-09-13,0.8,0.2,0.0,0.0,0.8,0.2,0.7333333333333333,0.26666666666666666,0.0,0.17333333333333334,0.5866666666666667,0.24000000000000002
2025-09-14,0.8,0.2,0.0,0.0,0.8,0.2,0.7466666666666667,0.2533333333333333,0.0,0.17333333333333334,0.5733333333333334,0.25333333333333335
2025-09-15,0.8,0.2,0.0,0.0,0.8,0.2,0.76,0.24000000000000002,0.0,0.16,0.5733333333333334,0.26666666666666666
2025-09-16,0.8,0.2,0.0,0.0,0.8,0.2,0.7466666666666667,0.25333333333333335,0.0,0.16000000000000003,0.56,0.28
2025-09-17,0.8,0.2,0.0,0.0,0.8,0.2,0.7600000000000001,0.24000000000000002,0.0,0.14666666666666667,0.56,0.29333333333333333
2025-09-18,0.8,0.2,0.0,0.2,0.4,0.4,0.76,0.24000000000000005,0.0,0.1733333333333333,0.52,0.30666666666666664
2025-09-19,0.8,0.2,0.0,0.2,0.4,0.4,0.76,0.24000000000000002,0.0,0.2,0.48000000000000004,0.32
2025-09-20,0.8,0.2,0.0,0.2,0.4,0.4,0.7733333333333334,0.22666666666666666,0.0,0.21333333333333335,0.45333333333333337,0.33333333333333337
2025-09-21,0.8,0.2,0.0,0.2,0.4,0.4,0.7733333333333333,0.22666666666666668,0.0,0.24000000000000002,0.41333333333333333,0.3466666666666667
2025-09-22,0.8,0.2,0.0,0.2,0.4,0.4,0.7733333333333334,0.22666666666666668,0.0,0.24000000000000002,0.4000000000000001,0.36000000000000004
2025-09-23,0.8,0.2,0.0,0.2,0.4,0.4,0.7733333333333333,0.22666666666666666,0.0,0.2533333333333333,0.3733333333333333,0.37333333333333335
2025-09-24,0.8,0.2,0.0,0.4,0.2,0.4,0.7733333333333334,0.22666666666666668,0.0,0.26666666666666666,0.3466666666666667,0.38666666666666666
2025-09-25,0.6,0.4,0.0,0.6,0.0,0.4,0.7733333333333334,0.22666666666666668,0.0,0.28,0.32000000000000006,0.4
2025-09-26,0.6,0.4,0.0,0.6,0.0,0.4,0.7733333333333333,0.22666666666666666,0.0,0.2933333333333333,0.30666666666666664,0.4
2025-09-27,0.8,0.2,0.0,0.4,0.2,0.4,0.7733333333333334,0.22666666666666668,0.0,0.30666666666666664,0.2933333333333333,0.4
